"","Suburb","avgPrice"
"202","MacLeod",800361.538461538
"203","Maidstone",690093.904761905
"204","Malvern",1886280.70175439
"205","Malvern East",1626121.1015625
"206","Manor Lakes",543333.333333333
"207","Maribyrnong",808142.76
"208","McKinnon",1334417.94871795
"209","Meadow Heights",477193.548387097
"210","Melbourne",807472.5
"211","Melton",422321.428571429
"212","Melton South",399177.419354839
"213","Melton West",403325
"214","Mentone",954409.274193548
"215","Mernda",586885.89010989
"216","Mickleham",1203607.14285714
"217","Middle Park",2305818.18181818
"218","Mill Park",642608.390243902
"219","Mitcham",945638.626168224
"220","Mont Albert",1533470.73684211
"221","Montmorency",831780
"222","Montrose",630166.666666667
"223","Moonee Ponds",1173016
"224","Moorabbin",1009416.66666667
"225","Mooroolbark",752923.076923077
"226","Mordialloc",951250
"227","Mount Evelyn",614000
"228","Mount Waverley",1238776.23039216
"229","Mulgrave",855888.288288288
"230","Murrumbeena",1048097.22222222
"231","Narre Warren",587095.238095238
"232","New Gisborne",715833.333333333
"233","Newport",988289.565217391
"234","Niddrie",896485.074626866
"235","Noble Park",649980.392156863
"236","North Melbourne",847944.444444444
"237","North Warrandyte",1023400
"238","Northcote",1188523.25581395
"239","Notting Hill",984088.8
"240","Nunawading",986146.666666667
"241","Oak Park",790602.3
"242","Oaklands Junction",810000
"243","Oakleigh",1054046.875
"244","Oakleigh East",985272.727272727
"245","Oakleigh South",921246.666666667
"246","Officer",615000
"247","Ormond",1099802.81690141
"248","Pakenham",536508.333333333
"249","Panton Hill",651000
"250","Parkdale",1085172.44897959
"251","Parkville",1372840.90909091
"252","Pascoe Vale",775232.608695652
"253","Patterson Lakes",800333.333333333
"254","Pentland Hills",875000
"255","Plenty",1200000
"256","Plumpton",542500
"257","Point Cook",645452.705882353
"258","Port Melbourne",1258807.94701987
"259","Prahran",1147035.39823009
"260","Preston",889810.681818182
"261","Princes Hill",1650100
"262","Research",838750
"263","Reservoir",693256.272727273
"264","Richmond",1062968.51851852
"265","Riddells Creek",641250
"266","Ringwood",890660.869565217
"267","Ringwood East",912172.916666667
"268","Ringwood North",905108.695652174
"269","Ripponlea",804285.714285714
"270","Rockbank",585000
"271","Rosanna",1035882.35294118
"272","Rowville",921042.857142857
"273","Roxburgh Park",515085.714285714
"274","Sandhurst",619333.333333333
"275","Sandringham",1736725
"276","Scoresby",839333.333333333
"277","Seabrook",622333.333333333
"278","Seaford",618952.380952381
"279","Seaholme",1067307.69230769
"280","Seddon",950976.190476191
"281","Silvan",1085000
"282","Skye",490250
"283","South Kingsville",910307.692307692
"284","South Melbourne",1289651.89873418
"285","South Morang",638411.930693069
"286","South Yarra",1024411.53846154
"287","Southbank",621524.390243902
"288","Spotswood",973260
"289","Springvale",751273.809523809
"290","Springvale South",701392.857142857
"291","St Albans",618159.405940594
"292","St Helena",825714.285714286
"293","St Kilda",774180.061349693
"294","Strathmore",1200939.02439024
"295","Strathmore Heights",878611
"296","Sunbury",532321.428571429
"297","Sunshine",744876.623376623
"298","Sunshine North",639270.149253731
"299","Sunshine West",651843.956043956
"300","Surrey Hills",1562210.22727273
"301","Sydenham",563369.565217391
"302","Tarneit",524700
"303","Taylors Hill",685806.25
"304","Taylors Lakes",709727.272727273
"305","Tecoma",675000
"306","Templestowe",1422355.26315789
"307","Templestowe Lower",1129436.1
"308","The Basin",567640
"309","Thomastown",598160.106382979
"310","Thornbury",969745.079136691
"311","Toorak",1714170.01111111
"312","Travancore",954333.333333333
"313","Truganina",544450
"314","Tullamarine",568961.71875
"315","Upwey",813500
"316","Vermont",986900
"317","Vermont South",1128212.12121212
"318","Viewbank",953107.142857143
"319","Wallan",524000
"320","Wandin North",1150000
"321","Wantirna",916857.290322581
"322","Wantirna South",1035735.31372549
"323","Warrandyte",1294000
"324","Warrandyte South",1380000
"325","Warranwood",992500
"326","Waterways",950800
"327","Watsonia",784438.636363636
"328","Watsonia North",747357.142857143
"329","Wattle Glen",878750
"330","Werribee",509759.689922481
"331","Werribee South",355000
"332","West Footscray",750872.448979592
"333","West Melbourne",1062500
"334","Westmeadows",576451.923076923
"335","Wheelers Hill",1230067.1641791
"336","Whittlesea",457500
"337","Williams Landing",656437.5
"338","Williamstown",1454658.65384615
"339","Williamstown North",812538.461538462
"340","Windsor",1008062.5
"341","Wollert",583740.983606557
"342","Wonga Park",915000
"343","Woori Yallock",950000
"344","Wyndham Vale",481776.480769231
"345","Yallambie",811541.666666667
"346","Yarraville",969784.671532847
