"","Distance","Type","avgPrice","count"
"170",11.2,"t",608547.176136364,176
"171",11.2,"u",518466.86746988,83
"172",11.4,"h",1531758.33333333,360
"173",11.4,"t",1213320.13380282,142
"174",11.4,"u",610478.571428571,147
"175",11.7,"h",912273.701298701,308
"176",11.7,"t",829366.197183099,71
"177",11.7,"u",664081.081081081,37
"178",12,"h",792920.735294118,680
"179",12,"t",593678.475308642,162
"180",12,"u",488060.026666667,225
"181",12.1,"h",785144.13546798,406
"182",12.1,"t",537029.411764706,34
"183",12.1,"u",512337.5,40
"184",12.3,"h",1162986.4321608,199
"185",12.3,"t",884188.636363636,44
"186",12.3,"u",654706.896551724,58
"187",12.4,"h",1305376.57248157,407
"188",12.4,"t",992236.206896552,58
"189",12.4,"u",782017.777777778,45
"190",12.7,"h",858896.802325581,172
"191",12.7,"t",714592.592592593,27
"192",12.7,"u",629197.674418605,43
"193",12.8,"h",612837.5,80
"194",12.8,"t",583750,4
"195",12.8,"u",479600,5
"196",12.9,"h",656047.639534884,344
"197",12.9,"t",546853.703703704,27
"198",12.9,"u",449338.235294118,34
"199",13.1,"h",711091.549295775,213
"200",13.1,"t",555940,25
"201",13.1,"u",441809.523809524,21
"202",13.4,"h",1242639.73381295,417
"203",13.4,"t",947141.025641026,39
"204",13.4,"u",765312.857142857,70
"205",13.8,"h",1406199.17350158,634
"206",13.8,"t",1194608.99354839,310
"207",13.8,"u",727598.387096774,155
"208",14,"h",575059.275641026,624
"209",14,"t",465074.074074074,54
"210",14,"u",430630.952380952,42
"211",14.2,"h",1434905.12623762,404
"212",14.2,"t",1035661.76470588,68
"213",14.2,"u",840922.476190476,84
"214",14.3,"h",1248586.36997319,373
"215",14.3,"t",1051750,94
"216",14.3,"u",732499.863013699,73
"217",14.5,"h",793889.767441861,215
"218",14.5,"t",718555.555555556,9
"219",14.5,"u",599805.555555556,18
"220",14.6,"h",1026035.48387097,31
"221",14.6,"t",933888.888888889,9
"222",14.6,"u",547558.823529412,17
"223",14.7,"h",773172.467816092,870
"224",14.7,"t",705680,25
"225",14.7,"u",531131.578947368,38
"226",14.8,"h",623365.695121951,246
"227",14.8,"t",467681.818181818,11
"228",14.8,"u",387500,2
"229",15.2,"h",1913912.87878788,132
"230",15.2,"t",1274300,35
"231",15.2,"u",735216.216216216,37
"232",15.3,"h",642744.047619048,210
"233",15.3,"t",439812.5,8
"234",15.3,"u",426037.272727273,55
"235",15.4,"h",1054429.14179104,268
"236",15.4,"t",859267.058823529,34
"237",15.4,"u",675329.210526316,38
"238",15.5,"h",973778.103139013,669
"239",15.5,"t",849619.047619048,42
"240",15.5,"u",616576.923076923,39
"241",16,"h",1278586.66666667,150
"242",16,"t",1005754.46428571,56
"243",16,"u",644227.586206897,58
"244",16.1,"h",938698.125,480
"245",16.1,"t",773137.254901961,51
"246",16.1,"u",625242.647058823,68
"247",16.2,"h",887952.739726027,146
"248",16.2,"t",829108.695652174,23
"249",16.2,"u",620000,23
"250",16.3,"h",629929.770992366,262
"251",16.3,"t",480500,7
"252",16.3,"u",487910.714285714,28
"253",16.5,"h",642705.284552846,123
"254",16.5,"t",491055.555555556,18
"255",16.5,"u",455277.777777778,9
"256",16.6,"h",549684.210526316,19
"257",16.6,"t",340000,2
"258",16.7,"h",1334098.10615385,650
"259",16.7,"t",926099.35,80
"260",16.7,"u",828680.64516129,93
"261",17.2,"h",1082697.10406091,394
"262",17.2,"t",846957.777777778,45
"263",17.2,"u",720867.123287671,73
"264",17.3,"h",1753579.36864407,236
"265",17.3,"t",1307833.33333333,72
"266",17.3,"u",790018.867924528,53
"267",17.4,"h",496440.476190476,84
"268",17.4,"t",371833.333333333,3
"269",17.4,"u",393958.333333333,12
"270",17.5,"h",862608.333333333,132
"271",17.5,"t",731818.136363636,22
"272",17.5,"u",622828.947368421,38
"273",17.6,"h",670000,17
"274",17.6,"t",475000,1
"275",17.9,"h",844169.906685237,718
"276",17.9,"t",837083.351351351,111
"277",17.9,"u",559216.101694915,118
"278",18,"h",766557.281609195,696
"279",18,"t",591976.190476191,21
"280",18,"u",541846.031746032,63
"281",18.4,"h",562454.814,500
"282",18.4,"t",378916.666666667,6
"283",18.4,"u",400790.740740741,27
"284",18.7,"h",768833.333333333,12
"285",18.7,"u",486000,3
"286",18.8,"h",934276.976653697,257
"287",18.8,"t",737004.166666667,24
"288",18.8,"u",655837.5,16
"289",19.5,"h",1360000,2
"290",19.6,"h",579371.978021978,364
"291",19.6,"t",449156.25,16
"292",19.6,"u",387274.390243902,41
"293",19.9,"h",930204.864754098,244
"294",19.9,"t",798583.333333333,18
"295",19.9,"u",572906.976744186,43
"296",20,"h",1213810.07751938,129
"297",20,"t",940393.258426966,89
"298",20,"u",572307.894736842,95
"299",20.1,"h",1386090.90909091,11
"300",20.4,"h",793790.821256039,207
"301",20.4,"t",478083.333333333,6
"302",20.4,"u",483500,2
"303",20.5,"h",630685.945378151,238
"304",20.5,"t",451681.818181818,11
"305",20.5,"u",400928.571428571,7
"306",20.6,"h",561087.757055215,815
"307",20.6,"t",384233.333333333,30
"308",20.6,"u",389222.222222222,9
"309",20.8,"h",786587.209302326,86
"310",20.8,"t",710500,2
"311",20.8,"u",625200,20
"312",21.1,"h",1211575,40
"313",21.3,"h",919275.835897436,195
"314",21.3,"t",756821.428571429,14
"315",21.3,"u",606562.5,24
"316",21.5,"h",1170568.1,380
"317",21.5,"t",975988.20754717,106
"318",21.5,"u",576965.963302752,109
"319",21.8,"h",738252.123076923,65
"320",21.8,"t",610000,2
"321",21.8,"u",598000,6
"322",22.2,"h",869946.017699115,226
"323",22.2,"t",736277.777777778,9
"324",22.2,"u",624431.818181818,22
"325",22.7,"h",711051.063829787,94
"326",22.7,"t",538361.111111111,18
"327",22.7,"u",481080,25
"328",22.9,"h",1158833.33333333,3
"329",23,"h",836226.851851852,297
"330",23,"t",629000,16
"331",23,"u",616369.230769231,26
"332",23.2,"h",806005.940594059,101
"333",23.2,"t",715333.333333333,3
"334",23.2,"u",575506.666666667,30
"335",23.3,"h",878374.236842105,38
"336",23.3,"t",780000,1
"337",23.3,"u",666966,4
"338",23.5,"h",906587.5,80
"339",23.5,"u",719250,2
"340",23.6,"h",844500,8
"341",23.8,"h",563600,30
"342",23.8,"t",435000,1
"343",24.3,"h",1156250,4
"344",24.7,"h",650456.994623656,186
"345",24.7,"t",358200,3
"346",24.7,"u",407085.714285714,35
"347",24.8,"h",764595.539823009,113
"348",24.8,"t",869166.666666667,6
"349",24.8,"u",567725,10
"350",25,"h",768210.528089888,89
"351",25,"t",7e+05,2
"352",25,"u",558333.333333333,12
"353",25.2,"h",829897.727272727,88
"354",25.2,"t",623833.333333333,6
"355",25.2,"u",654000,2
"356",25.5,"h",582837.288135593,118
"357",25.5,"t",421666.666666667,6
"358",25.5,"u",451666.666666667,3
"359",25.9,"h",594018.934169279,319
"360",25.9,"t",463250,12
"361",25.9,"u",441666.666666667,3
"362",26,"h",808451.219512195,41
"363",26,"u",595000,2
"364",26.1,"h",672000,5
"365",26.5,"h",739518.072289157,83
"366",26.5,"t",665000,2
"367",26.5,"u",510500,1
"368",27,"h",935962.631578947,209
"369",27,"t",837240,50
"370",27,"u",627196.710526316,76
"371",27.1,"h",716640.52173913,23
"372",27.2,"h",481969.3515625,128
"373",27.2,"u",371000,1
"374",27.7,"h",487571.428571429,7
"375",27.7,"u",397000,1
"376",28.4,"h",813000,2
"377",28.5,"h",672394.736842105,57
"378",28.8,"h",508361.111111111,54
"379",28.8,"u",471000,2
"380",29.3,"h",849420,5
"381",29.5,"h",755000,2
"382",29.8,"h",413233.173076923,104
"383",29.8,"u",294285.714285714,7
"384",29.9,"h",726200,15
"385",29.9,"t",332000,1
"386",30.1,"h",405000,1
"387",30.4,"h",733625.375,8
"388",30.6,"h",680000,1
"389",31.2,"h",849379.310344828,58
"390",31.2,"t",696552.631578947,19
"391",31.2,"u",590850,30
"392",31.4,"h",986666.666666667,3
"393",31.6,"h",653722.222222222,9
